Entidad federativa,Año,Porcentaje_alfabetizacion,Años_escolaridad_15,Pob_hombres,Pob_mujeres,Edad_mediana,Pob_0-4_años,Pob_10-14_años,Pob_+100_años,Pob_15-19_años,Pob_20-24_años,Pob_25-29_años,Pob_30-34_años,Pob_35-39_años,Pob_40-44_años,Pob_45-49_años,Pob_05-9_años,Pob_50-54_años,Pob_55-59_años,Pob_60-64_años,Pob_65-69_años,Pob_70-74_años,Pob_75-79_años,Pob_80-84_años,Pob_85-89_años,Pob_90-94_años,Pob_95-99_años,Pob_afro_share,Pob_indigena_share,Pob_catolica,Pob_no-catolica,Pob_sin-religion,Población urbana,Población rural,Población total,Ingreso_percapita_mean,Ingreso_hogar_mean
01 Aguascalientes,1995,NA,NA,422324,440396,19,112429,104083,59,97061,88901,71839,62217,25116,40131,31678,107680,24525,17646,15900,11870,9452,5771,3892,2428,975,380,NA,NA,NA,NA,NA,674984,187736,862720,NA,NA
01 Aguascalientes,2000,95.1067763566,8,456533,487752,21,116137,108532,102,99577,87508,79200,70317,28736,49365,37541,117375,30202,22094,17759,13752,10714,7754,4336,2726,1169,542,NA,NA,785614,23009,6723,757579,186706,944285,NA,NA
01 Aguascalientes,2005,NA,8.7,515364,550052,23,118536,120280,98,107007,93139,83073,82651,34068,61553,49233,120130,39222,29196,23168,16290,12912,9203,6155,3140,1302,503,NA,NA,NA,NA,NA,864550,200866,1065416,NA,NA
01 Aguascalientes,2010,96.2,9.23,576638,608358,24,121557,123806,109,121428,106305,93604,88726,40569,73084,60198,128874,49980,37543,29258,21004,15254,10673,7228,4061,1467,551,NA,NA,987501,47813,19242,957589,227407,1184996,NA,NA
01 Aguascalientes,2015,97.0322902435,9.725974723,NA,NA,24.714148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0497507,11.686846,NA,NA,NA,NA,NA,NA,NA,NA
01 Aguascalientes,2020,97.7402146878,10.3491343203,696683,728924,27,124430,129717,112,131967,127020,118426,106825,47774,92378,84669,131048,74121,58865,48306,35823,25586,16581,10186,5576,2410,796,1.5730141617,NA,1159832,80099,57920,1198711,226896,1425607,15959.620021819312,58303.33414728
02 Baja California,1995,NA,NA,1064591,1047549,22,257856,208902,141,215142,240052,208348,175151,71708,105499,80606,238928,64059,47838,40558,29724,21048,12270,7248,3702,1336,572,NA,NA,NA,NA,NA,1929488,182652,2112140,NA,NA
02 Baja California,2000,96.2834529919,8.2,1252581,1234786,23,268682,226758,266,220707,231966,230907,197807,83873,126564,92839,260331,73548,53639,44174,32561,23192,15403,8005,4322,1675,857,NA,NA,1637088,218574,123743,2278000,209367,2487367,NA,NA
02 Baja California,2005,NA,8.9,1431789,1412680,25,267954,267938,172,255309,246968,241951,240879,106746,164598,128512,277635,99356,71624,56711,40660,28923,18815,11375,5453,1987,792,NA,NA,NA,NA,NA,2644801,199668,2844469,NA,NA
02 Baja California,2010,96.3,9.26,1591610,1563460,26,293234,305472,206,299195,286479,265428,264023,135331,215049,171104,303180,136690,97874,75229,52560,37742,24055,14744,7764,2641,913,NA,NA,2067835,439238,277525,2911874,243196,3155070,NA,NA
02 Baja California,2015,97.5787501679,9.7574177214,NA,NA,26.971985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2245333,8.5366398,NA,NA,NA,NA,NA,NA,NA,NA
02 Baja California,2020,97.7485847345,10.202654544,1900589,1868431,30,266301,312348,252,315639,340359,328244,302389,148169,273611,260844,299654,221388,168653,134022,94704,65425,40874,25204,12451,4858,1512,1.7076587548,NA,2187369,651391,644597,3530240,238780,3769020,20628.962167594895,67820.5638907682
03 Baja California Sur,1995,NA,NA,191013,184481,22,42732,41165,35,40586,39231,34454,30976,13577,19764,14905,42977,11611,8618,6868,5061,3560,2353,1430,795,321,149,NA,NA,NA,NA,NA,296335,79159,375494,NA,NA
03 Baja California Sur,2000,95.6902843668,8.3,216250,207791,23,45613,43302,53,42376,42278,40264,35609,15778,25053,18593,45929,14109,10631,8248,6145,4176,2894,1725,966,361,221,NA,NA,333156,23067,13632,344735,79306,424041,NA,NA
